#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
33,10,0.005,0.002,0.8,0.8,3,1.54,1.1,1.0893492585
32,10,0.005,0.002,0.8,0.8,3,1.54,1.21,1.0861516123
33,10,0.005,0.002,0.8,0.8,3,1.54,1.32,1.0844483387
33,10,0.005,0.002,0.8,0.8,3,1.54,1.43,1.0833359849
33,10,0.005,0.002,0.8,0.8,3,1.54,1.54,1.0845133057
33,10,0.005,0.002,0.8,0.8,3,1.54,1.65,1.0828270856
33,10,0.005,0.002,0.8,0.8,3,1.54,1.76,1.080775647
32,10,0.005,0.002,0.8,0.8,3,1.54,1.87,1.0815102408
32,10,0.005,0.002,0.8,0.8,3,1.54,1.98,1.0792668334
33,10,0.005,0.002,0.8,0.8,3,1.65,0.77,1.0892217445
33,10,0.005,0.002,0.8,0.8,3,1.65,0.88,1.0872597181
33,10,0.005,0.002,0.8,0.8,3,1.65,0.99,1.0887565945
33,10,0.005,0.002,0.8,0.8,3,1.65,1.1,1.0877491084
32,10,0.005,0.002,0.8,0.8,3,1.65,1.21,1.0877478159
33,10,0.005,0.002,0.8,0.8,3,1.65,1.32,1.0825327321
33,10,0.005,0.002,0.8,0.8,3,1.65,1.43,1.0829236245
33,10,0.005,0.002,0.8,0.8,3,1.65,1.54,1.0799782926
33,10,0.005,0.002,0.8,0.8,3,1.65,1.65,1.08105414
33,10,0.005,0.002,0.8,0.8,3,1.65,1.76,1.0806375505
33,10,0.005,0.002,0.8,0.8,3,1.65,1.87,1.0794843869
32,10,0.005,0.002,0.8,0.8,3,1.65,1.98,1.0782222082
33,10,0.005,0.002,0.8,0.8,3,1.76,0.77,1.0907537691
33,10,0.005,0.002,0.8,0.8,3,1.76,0.88,1.0883986879
33,10,0.005,0.002,0.8,0.8,3,1.76,0.99,1.0867426472
33,10,0.005,0.002,0.8,0.8,3,1.76,1.1,1.085188325
33,10,0.005,0.002,0.8,0.8,3,1.76,1.21,1.0846845554
33,10,0.005,0.002,0.8,0.8,3,1.76,1.32,1.0844325736
32,10,0.005,0.002,0.8,0.8,3,1.76,1.43,1.0816483685
33,10,0.005,0.002,0.8,0.8,3,1.76,1.54,1.080500314
33,10,0.005,0.002,0.8,0.8,3,1.76,1.65,1.0795814004
32,10,0.005,0.002,0.8,0.8,3,1.76,1.76,1.0796510242
32,10,0.005,0.002,0.8,0.8,3,1.76,1.87,1.0786943653
32,10,0.005,0.002,0.8,0.8,3,1.76,1.98,1.0782324165
32,10,0.005,0.002,0.8,0.8,3,1.87,0.77,1.0907311138
32,10,0.005,0.002,0.8,0.8,3,1.87,0.88,1.0878279706
33,10,0.005,0.002,0.8,0.8,3,1.87,0.99,1.0854761892
32,10,0.005,0.002,0.8,0.8,3,1.87,1.1,1.084444637
32,10,0.005,0.002,0.8,0.8,3,1.87,1.21,1.083951607
32,10,0.005,0.002,0.8,0.8,3,1.87,1.32,1.0831647947
32,10,0.005,0.002,0.8,0.8,3,1.87,1.43,1.083646334
33,10,0.005,0.002,0.8,0.8,3,1.87,1.54,1.0799735766
32,10,0.005,0.002,0.8,0.8,3,1.87,1.65,1.0793679987
33,10,0.005,0.002,0.8,0.8,3,1.87,1.76,1.0793596628
33,10,0.005,0.002,0.8,0.8,3,1.87,1.87,1.0784875582
32,10,0.005,0.002,0.8,0.8,3,1.87,1.98,1.0763551627
32,10,0.005,0.002,0.8,0.8,3,1.98,0.77,1.0864134446
33,10,0.005,0.002,0.8,0.8,3,1.98,0.88,1.0857456155
33,10,0.005,0.002,0.8,0.8,3,1.98,0.99,1.0850693971
33,10,0.005,0.002,0.8,0.8,3,1.98,1.1,1.0820581406
33,10,0.005,0.002,0.8,0.8,3,1.98,1.21,1.0830386597
33,10,0.005,0.002,0.8,0.8,3,1.98,1.32,1.0809252213
32,10,0.005,0.002,0.8,0.8,3,1.98,1.43,1.0801031857
32,10,0.005,0.002,0.8,0.8,3,1.98,1.54,1.080950705
32,10,0.005,0.002,0.8,0.8,3,1.98,1.65,1.0781512905
32,10,0.005,0.002,0.8,0.8,3,1.98,1.76,1.0779359937
32,10,0.005,0.002,0.8,0.8,3,1.98,1.87,1.0774613908
32,10,0.005,0.002,0.8,0.8,3,1.98,1.98,1.0764399268
31,10,0.005,0.002,0.8,0.8,4,0.77,0.77,1.1009761669
32,10,0.005,0.002,0.8,0.8,4,0.77,0.88,1.0999678697
32,10,0.005,0.002,0.8,0.8,4,0.77,0.99,1.0997982881
32,10,0.005,0.002,0.8,0.8,4,0.77,1.1,1.0971118701
32,10,0.005,0.002,0.8,0.8,4,0.77,1.21,1.0958158986
33,10,0.005,0.002,0.8,0.8,4,0.77,1.32,1.0933287578
33,10,0.005,0.002,0.8,0.8,4,0.77,1.43,1.0916358355
33,10,0.005,0.002,0.8,0.8,4,0.77,1.54,1.0932390188
32,10,0.005,0.002,0.8,0.8,4,0.77,1.65,1.09216379
33,10,0.005,0.002,0.8,0.8,4,0.77,1.76,1.0883989138
33,10,0.005,0.002,0.8,0.8,4,0.77,1.87,1.0873949198
33,10,0.005,0.002,0.8,0.8,4,0.77,1.98,1.0878182771
32,10,0.005,0.002,0.8,0.8,4,0.88,0.77,1.1008170993
32,10,0.005,0.002,0.8,0.8,4,0.88,0.88,1.0976612558
32,10,0.005,0.002,0.8,0.8,4,0.88,0.99,1.0970859939
32,10,0.005,0.002,0.8,0.8,4,0.88,1.1,1.0961784905
33,10,0.005,0.002,0.8,0.8,4,0.88,1.21,1.093933204
32,10,0.005,0.002,0.8,0.8,4,0.88,1.32,1.0927498036
32,10,0.005,0.002,0.8,0.8,4,0.88,1.43,1.0924755415
33,10,0.005,0.002,0.8,0.8,4,0.88,1.54,1.0888551077
33,10,0.005,0.002,0.8,0.8,4,0.88,1.65,1.0886437226
33,10,0.005,0.002,0.8,0.8,4,0.88,1.76,1.0885469911
33,10,0.005,0.002,0.8,0.8,4,0.88,1.87,1.086383751
33,10,0.005,0.002,0.8,0.8,4,0.88,1.98,1.0852975715
33,10,0.005,0.002,0.8,0.8,4,0.99,0.77,1.0978793508
32,10,0.005,0.002,0.8,0.8,4,0.99,0.88,1.0991904842
33,10,0.005,0.002,0.8,0.8,4,0.99,0.99,1.0950376598
33,10,0.005,0.002,0.8,0.8,4,0.99,1.1,1.0927146211
33,10,0.005,0.002,0.8,0.8,4,0.99,1.21,1.0915003519
33,10,0.005,0.002,0.8,0.8,4,0.99,1.32,1.0919684158
33,10,0.005,0.002,0.8,0.8,4,0.99,1.43,1.0910155949
33,10,0.005,0.002,0.8,0.8,4,0.99,1.54,1.0899638569
33,10,0.005,0.002,0.8,0.8,4,0.99,1.65,1.0882463081
33,10,0.005,0.002,0.8,0.8,4,0.99,1.76,1.0870541162
33,10,0.005,0.002,0.8,0.8,4,0.99,1.87,1.0870077502
32,10,0.005,0.002,0.8,0.8,4,0.99,1.98,1.0849458289
32,10,0.005,0.002,0.8,0.8,4,1.1,0.77,1.0978289133
33,10,0.005,0.002,0.8,0.8,4,1.1,0.88,1.09356954
33,10,0.005,0.002,0.8,0.8,4,1.1,0.99,1.0949346494
33,10,0.005,0.002,0.8,0.8,4,1.1,1.1,1.091514453
32,10,0.005,0.002,0.8,0.8,4,1.1,1.21,1.0919958432
33,10,0.005,0.002,0.8,0.8,4,1.1,1.32,1.089072891
33,10,0.005,0.002,0.8,0.8,4,1.1,1.43,1.0900106113
33,10,0.005,0.002,0.8,0.8,4,1.1,1.54,1.087331081
33,10,0.005,0.002,0.8,0.8,4,1.1,1.65,1.0868265833
33,10,0.005,0.002,0.8,0.8,4,1.1,1.76,1.0852746555
33,10,0.005,0.002,0.8,0.8,4,1.1,1.87,1.082775766
33,10,0.005,0.002,0.8,0.8,4,1.1,1.98,1.0850165055
32,10,0.005,0.002,0.8,0.8,4,1.21,0.77,1.0938054873
32,10,0.005,0.002,0.8,0.8,4,1.21,0.88,1.0935669621
33,10,0.005,0.002,0.8,0.8,4,1.21,0.99,1.0936759972
32,10,0.005,0.002,0.8,0.8,4,1.21,1.1,1.0918779517
33,10,0.005,0.002,0.8,0.8,4,1.21,1.21,1.0905215917
33,10,0.005,0.002,0.8,0.8,4,1.21,1.32,1.0881102416
33,10,0.005,0.002,0.8,0.8,4,1.21,1.43,1.0882755872
33,10,0.005,0.002,0.8,0.8,4,1.21,1.54,1.0859079651
33,10,0.005,0.002,0.8,0.8,4,1.21,1.65,1.0854942944
33,10,0.005,0.002,0.8,0.8,4,1.21,1.76,1.0836821105
32,10,0.005,0.002,0.8,0.8,4,1.21,1.87,1.0840319579
32,10,0.005,0.002,0.8,0.8,4,1.21,1.98,1.083388957
32,10,0.005,0.002,0.8,0.8,4,1.32,0.77,1.0950649399
33,10,0.005,0.002,0.8,0.8,4,1.32,0.88,1.0917219792
32,10,0.005,0.002,0.8,0.8,4,1.32,0.99,1.0909164222
33,10,0.005,0.002,0.8,0.8,4,1.32,1.1,1.093880156
33,10,0.005,0.002,0.8,0.8,4,1.32,1.21,1.0871395334
32,10,0.005,0.002,0.8,0.8,4,1.32,1.32,1.088312965
33,10,0.005,0.002,0.8,0.8,4,1.32,1.43,1.0861024616
33,10,0.005,0.002,0.8,0.8,4,1.32,1.54,1.0860024011
33,10,0.005,0.002,0.8,0.8,4,1.32,1.65,1.0851464589
33,10,0.005,0.002,0.8,0.8,4,1.32,1.76,1.0815298941
32,10,0.005,0.002,0.8,0.8,4,1.32,1.87,1.0846146179
33,10,0.005,0.002,0.8,0.8,4,1.32,1.98,1.0810777601
33,10,0.005,0.002,0.8,0.8,4,1.43,0.77,1.0919206546
32,10,0.005,0.002,0.8,0.8,4,1.43,0.88,1.0924563707
33,10,0.005,0.002,0.8,0.8,4,1.43,0.99,1.0871162611
33,10,0.005,0.002,0.8,0.8,4,1.43,1.1,1.0886119744
32,10,0.005,0.002,0.8,0.8,4,1.43,1.21,1.0891934133
32,10,0.005,0.002,0.8,0.8,4,1.43,1.32,1.0889040528
33,10,0.005,0.002,0.8,0.8,4,1.43,1.43,1.0855839095
33,10,0.005,0.002,0.8,0.8,4,1.43,1.54,1.08475529
32,10,0.005,0.002,0.8,0.8,4,1.43,1.65,1.0842441466
33,10,0.005,0.002,0.8,0.8,4,1.43,1.76,1.0825587756
33,10,0.005,0.002,0.8,0.8,4,1.43,1.87,1.082230021
33,10,0.005,0.002,0.8,0.8,4,1.43,1.98,1.0820684132
33,10,0.005,0.002,0.8,0.8,4,1.54,0.77,1.0907187087
32,10,0.005,0.002,0.8,0.8,4,1.54,0.88,1.0919527036
33,10,0.005,0.002,0.8,0.8,4,1.54,0.99,1.0896310115
