#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
662,10,0.001,0.7,0.77,0.015,0.019,1.18502663114841,-0.71902068092084,0.848773817931481
663,10,0.001,0.7,0.77,0.015,0.019,1.18741391817033,-0.720503681360981,0.848795354316669
664,10,0.001,0.7,0.77,0.015,0.019,1.18980183616196,-0.721988230745025,0.84880243242564
665,10,0.001,0.7,0.77,0.015,0.019,1.19218994678474,-0.723474500969246,0.848895870031819
666,10,0.001,0.7,0.77,0.015,0.019,1.19457884541108,-0.724961842072088,0.848963685075505
667,10,0.001,0.7,0.77,0.015,0.019,1.19696865292111,-0.726450388019109,0.848984367985043
668,10,0.001,0.7,0.77,0.015,0.019,1.19935916560782,-0.72794008976959,0.848976804380605
669,10,0.001,0.7,0.77,0.015,0.019,1.2017507362395,-0.729430897656017,0.848948657543078
670,10,0.001,0.7,0.77,0.015,0.019,1.20414239230794,-0.730923445662628,0.849006158718486
671,10,0.001,0.7,0.77,0.015,0.019,1.20653451089792,-0.732417629789716,0.8490919275042
672,10,0.001,0.7,0.77,0.015,0.019,1.20892746329027,-0.733913117722777,0.849157499302604
673,10,0.001,0.7,0.77,0.015,0.019,1.2113217379057,-0.735409418742725,0.849095243429563
674,10,0.001,0.7,0.77,0.015,0.019,1.21371667577667,-0.736907137106633,0.8491557672002
675,10,0.001,0.7,0.77,0.015,0.019,1.21611067702771,-0.738407371123233,0.849181809915961
676,10,0.001,0.7,0.77,0.015,0.019,1.21850513493646,-0.739909093592538,0.849212129657207
677,10,0.001,0.7,0.77,0.015,0.019,1.2209006164595,-0.741412054878223,0.849253733169871
678,10,0.001,0.7,0.77,0.015,0.019,1.22329714330099,-0.742915918455114,0.849269751306972
679,10,0.001,0.7,0.77,0.015,0.019,1.22569482435429,-0.744420925087878,0.84943245621882
680,10,0.001,0.7,0.77,0.015,0.019,1.22809408001721,-0.745926751013504,0.849414971318312
681,10,0.001,0.7,0.77,0.015,0.019,1.23049395763039,-0.7474338747271,0.849468727939156
682,10,0.001,0.7,0.77,0.015,0.019,1.23289433453539,-0.748942317385167,0.849433921399722
683,10,0.001,0.7,0.77,0.015,0.019,1.23529583657272,-0.750451922873791,0.84944734469579
684,10,0.001,0.7,0.77,0.015,0.019,1.23769798576446,-0.75196295775062,0.849428197166558
